2025-12-11 at 09:02:56 | INFO | saas
2025-12-11 at 15:30:56 | INFO | 图片保存成功：background.png
2025-12-11 at 15:31:02 | INFO | 无学习任务，直接退出
2025-12-11 at 15:31:31 | INFO | 正在初始化
2025-12-11 at 15:31:31 | INFO | 初始化完成
2025-12-11 at 15:31:34 | INFO | 账号输入完成
2025-12-11 at 15:31:36 | INFO | 密码输入完成
2025-12-11 at 15:31:36 | INFO | 已勾选协议
2025-12-11 at 15:31:36 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:31:36 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:31:36 | INFO | 图片保存成功：background.png
2025-12-11 at 15:31:42 | INFO | 无学习任务，直接退出
2025-12-11 at 15:46:18 | INFO | 正在初始化
2025-12-11 at 15:46:18 | INFO | 初始化完成
2025-12-11 at 15:46:22 | INFO | 账号输入完成
2025-12-11 at 15:46:24 | INFO | 密码输入完成
2025-12-11 at 15:46:24 | INFO | 已勾选协议
2025-12-11 at 15:46:24 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:46:24 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:46:24 | INFO | 图片保存成功：background.png
2025-12-11 at 15:46:50 | INFO | 正在初始化
2025-12-11 at 15:46:50 | INFO | 初始化完成
2025-12-11 at 15:46:53 | INFO | 账号输入完成
2025-12-11 at 15:46:55 | INFO | 密码输入完成
2025-12-11 at 15:46:55 | INFO | 已勾选协议
2025-12-11 at 15:46:55 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:46:55 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:46:55 | INFO | 图片保存成功：background.png
2025-12-11 at 15:48:08 | INFO | 正在初始化
2025-12-11 at 15:48:08 | INFO | 初始化完成
2025-12-11 at 15:48:11 | INFO | 账号输入完成
2025-12-11 at 15:48:13 | INFO | 密码输入完成
2025-12-11 at 15:48:13 | INFO | 已勾选协议
2025-12-11 at 15:48:13 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:48:13 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:48:13 | INFO | 图片保存成功：background.png
2025-12-11 at 15:48:36 | INFO | 正在初始化
2025-12-11 at 15:48:36 | INFO | 初始化完成
2025-12-11 at 15:48:38 | INFO | 账号输入完成
2025-12-11 at 15:48:40 | INFO | 密码输入完成
2025-12-11 at 15:48:40 | INFO | 已勾选协议
2025-12-11 at 15:48:40 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:48:40 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:48:40 | INFO | 图片保存成功：background.png
2025-12-11 at 15:57:37 | INFO | 正在初始化
2025-12-11 at 15:57:37 | INFO | 初始化完成
2025-12-11 at 15:57:41 | INFO | 账号输入完成
2025-12-11 at 15:57:42 | INFO | 密码输入完成
2025-12-11 at 15:57:42 | INFO | 已勾选协议
2025-12-11 at 15:57:42 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:57:42 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:57:42 | INFO | 图片保存成功：background.png
2025-12-11 at 15:59:01 | INFO | 正在初始化
2025-12-11 at 15:59:01 | INFO | 初始化完成
2025-12-11 at 15:59:03 | INFO | 账号输入完成
2025-12-11 at 15:59:05 | INFO | 密码输入完成
2025-12-11 at 15:59:05 | INFO | 已勾选协议
2025-12-11 at 15:59:05 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:59:05 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:59:05 | INFO | 图片保存成功：background.png
2025-12-11 at 16:01:23 | INFO | 正在初始化
2025-12-11 at 16:01:23 | INFO | 初始化完成
2025-12-11 at 16:01:26 | INFO | 账号输入完成
2025-12-11 at 16:01:28 | INFO | 密码输入完成
2025-12-11 at 16:01:28 | INFO | 已勾选协议
2025-12-11 at 16:01:28 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:01:28 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:01:28 | INFO | 图片保存成功：background.png
2025-12-11 at 16:04:24 | INFO | 正在初始化
2025-12-11 at 16:04:24 | INFO | 初始化完成
2025-12-11 at 16:04:26 | INFO | 账号输入完成
2025-12-11 at 16:04:28 | INFO | 密码输入完成
2025-12-11 at 16:04:28 | INFO | 已勾选协议
2025-12-11 at 16:04:28 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:04:28 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:04:28 | INFO | 图片保存成功：background.png
2025-12-11 at 16:04:44 | INFO | 正在初始化
2025-12-11 at 16:04:44 | INFO | 初始化完成
2025-12-11 at 16:04:47 | INFO | 账号输入完成
2025-12-11 at 16:04:49 | INFO | 密码输入完成
2025-12-11 at 16:04:49 | INFO | 已勾选协议
2025-12-11 at 16:04:49 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:04:49 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:04:49 | INFO | 图片保存成功：background.png
2025-12-11 at 16:06:27 | INFO | 正在初始化
2025-12-11 at 16:06:27 | INFO | 初始化完成
2025-12-11 at 16:06:30 | INFO | 账号输入完成
2025-12-11 at 16:06:32 | INFO | 密码输入完成
2025-12-11 at 16:06:32 | INFO | 已勾选协议
2025-12-11 at 16:06:32 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:06:32 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:06:32 | INFO | 图片保存成功：background.png
2025-12-11 at 16:08:40 | INFO | 正在初始化
2025-12-11 at 16:08:40 | INFO | 初始化完成
2025-12-11 at 16:08:43 | INFO | 账号输入完成
2025-12-11 at 16:08:44 | INFO | 密码输入完成
2025-12-11 at 16:08:44 | INFO | 已勾选协议
2025-12-11 at 16:08:45 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:08:45 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:08:45 | INFO | 图片保存成功：background.png
2025-12-11 at 16:09:49 | INFO | 正在初始化
2025-12-11 at 16:09:49 | INFO | 初始化完成
2025-12-11 at 16:09:52 | INFO | 账号输入完成
2025-12-11 at 16:09:54 | INFO | 密码输入完成
2025-12-11 at 16:09:54 | INFO | 已勾选协议
2025-12-11 at 16:09:54 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:09:54 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:09:54 | INFO | 图片保存成功：background.png
2025-12-11 at 16:11:12 | INFO | 正在初始化
2025-12-11 at 16:11:12 | INFO | 初始化完成
2025-12-11 at 16:11:15 | INFO | 账号输入完成
2025-12-11 at 16:11:17 | INFO | 密码输入完成
2025-12-11 at 16:11:17 | INFO | 已勾选协议
2025-12-11 at 16:11:17 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:11:17 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:11:17 | INFO | 图片保存成功：background.png
2025-12-11 at 16:11:30 | INFO | 无学习任务，直接退出
2025-12-11 at 16:12:13 | INFO | 正在初始化
2025-12-11 at 16:12:13 | INFO | 初始化完成
2025-12-11 at 16:12:15 | INFO | 账号输入完成
2025-12-11 at 16:12:17 | INFO | 密码输入完成
2025-12-11 at 16:12:17 | INFO | 已勾选协议
2025-12-11 at 16:12:17 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:12:17 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:12:17 | INFO | 图片保存成功：background.png
2025-12-11 at 16:12:44 | INFO | 无学习任务，直接退出
2025-12-11 at 16:14:47 | INFO | 正在初始化
2025-12-11 at 16:14:47 | INFO | 初始化完成
2025-12-11 at 16:14:50 | INFO | 账号输入完成
2025-12-11 at 16:14:52 | INFO | 密码输入完成
2025-12-11 at 16:14:52 | INFO | 已勾选协议
2025-12-11 at 16:14:52 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:14:52 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:14:52 | INFO | 图片保存成功：background.png
2025-12-11 at 16:15:25 | INFO | 正在初始化
2025-12-11 at 16:15:25 | INFO | 初始化完成
2025-12-11 at 16:15:28 | INFO | 账号输入完成
2025-12-11 at 16:15:30 | INFO | 密码输入完成
2025-12-11 at 16:15:30 | INFO | 已勾选协议
2025-12-11 at 16:15:30 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:15:30 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:15:30 | INFO | 图片保存成功：background.png
2025-12-11 at 16:15:49 | INFO | 无学习任务，直接退出
2025-12-11 at 16:17:15 | INFO | 正在初始化
2025-12-11 at 16:17:15 | INFO | 初始化完成
2025-12-11 at 16:17:15 | INFO | 当前位置：首页
2025-12-11 at 16:17:15 | INFO | 正在进入个人中心
2025-12-11 at 16:17:33 | INFO | 正在初始化
2025-12-11 at 16:17:33 | INFO | 初始化完成
2025-12-11 at 16:17:53 | INFO | 正在初始化
2025-12-11 at 16:17:53 | INFO | 初始化完成
2025-12-11 at 16:18:50 | INFO | 正在初始化
2025-12-11 at 16:18:50 | INFO | 初始化完成
2025-12-11 at 16:19:26 | INFO | 正在初始化
2025-12-11 at 16:19:26 | INFO | 初始化完成
2025-12-11 at 16:19:46 | INFO | 正在初始化
2025-12-11 at 16:19:46 | INFO | 初始化完成
2025-12-11 at 16:20:34 | INFO | 正在初始化
2025-12-11 at 16:20:34 | INFO | 初始化完成
2025-12-11 at 16:20:37 | INFO | 账号输入完成
2025-12-11 at 16:20:38 | INFO | 密码输入完成
2025-12-11 at 16:20:39 | INFO | 已勾选协议
2025-12-11 at 16:20:39 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:20:39 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:20:39 | INFO | 图片保存成功：background.png
2025-12-11 at 16:20:47 | INFO | 无学习任务，直接退出
2025-12-11 at 16:21:33 | INFO | 正在初始化
2025-12-11 at 16:21:33 | INFO | 初始化完成
2025-12-11 at 16:21:35 | INFO | 账号输入完成
2025-12-11 at 16:21:37 | INFO | 密码输入完成
2025-12-11 at 16:21:37 | INFO | 已勾选协议
2025-12-11 at 16:21:37 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:21:37 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:21:37 | INFO | 图片保存成功：background.png
2025-12-11 at 16:22:03 | INFO | 无学习任务，直接退出
2025-12-11 at 16:23:50 | INFO | 正在初始化
2025-12-11 at 16:23:50 | INFO | 初始化完成
2025-12-11 at 16:23:53 | INFO | 账号输入完成
2025-12-11 at 16:23:54 | INFO | 密码输入完成
2025-12-11 at 16:23:54 | INFO | 已勾选协议
2025-12-11 at 16:23:54 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:23:54 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:23:54 | INFO | 图片保存成功：background.png
2025-12-11 at 16:24:08 | INFO | 无学习任务，直接退出
2025-12-11 at 16:24:30 | INFO | 正在初始化
2025-12-11 at 16:24:30 | INFO | 初始化完成
2025-12-11 at 16:24:32 | INFO | 账号输入完成
2025-12-11 at 16:24:34 | INFO | 密码输入完成
2025-12-11 at 16:24:34 | INFO | 已勾选协议
2025-12-11 at 16:24:34 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:24:34 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:24:34 | INFO | 图片保存成功：background.png
2025-12-11 at 16:24:40 | INFO | 无学习任务，直接退出
2025-12-11 at 16:25:38 | INFO | 正在初始化
2025-12-11 at 16:25:38 | INFO | 初始化完成
2025-12-11 at 16:25:40 | INFO | 账号输入完成
2025-12-11 at 16:25:42 | INFO | 密码输入完成
2025-12-11 at 16:25:42 | INFO | 已勾选协议
2025-12-11 at 16:25:42 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:25:42 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:25:42 | INFO | 图片保存成功：background.png
2025-12-11 at 16:25:49 | INFO | 无学习任务，直接退出
2025-12-11 at 16:27:32 | INFO | 正在初始化
2025-12-11 at 16:27:32 | INFO | 初始化完成
2025-12-11 at 16:27:35 | INFO | 账号输入完成
2025-12-11 at 16:27:37 | INFO | 密码输入完成
2025-12-11 at 16:27:37 | INFO | 已勾选协议
2025-12-11 at 16:27:37 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:27:37 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:27:37 | INFO | 图片保存成功：background.png
2025-12-11 at 16:27:41 | ERROR | 验证失败，正在重试
2025-12-11 at 16:27:41 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:27:41 | INFO | 图片保存成功：background.png
2025-12-11 at 16:27:42 | ERROR | 验证失败，正在重试
2025-12-11 at 16:27:42 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:27:42 | INFO | 图片保存成功：background.png
2025-12-11 at 16:47:36 | INFO | 正在初始化
2025-12-11 at 16:47:36 | INFO | 初始化完成
2025-12-11 at 16:47:39 | INFO | 账号输入完成
2025-12-11 at 16:47:41 | INFO | 密码输入完成
2025-12-11 at 16:47:41 | INFO | 已勾选协议
2025-12-11 at 16:47:41 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:47:41 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:47:41 | INFO | 图片保存成功：background.png
2025-12-11 at 16:47:45 | ERROR | 验证失败，正在重试
2025-12-11 at 16:47:45 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:47:45 | INFO | 图片保存成功：background.png
2025-12-11 at 16:49:10 | INFO | 正在初始化
2025-12-11 at 16:49:10 | INFO | 初始化完成
2025-12-11 at 16:49:13 | INFO | 账号输入完成
2025-12-11 at 16:49:15 | INFO | 密码输入完成
2025-12-11 at 16:49:15 | INFO | 已勾选协议
2025-12-11 at 16:49:15 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:49:15 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:49:15 | INFO | 图片保存成功：background.png
2025-12-11 at 16:50:14 | ERROR | 验证失败，正在重试
2025-12-11 at 16:50:14 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:50:14 | INFO | 图片保存成功：background.png
2025-12-11 at 16:57:23 | INFO | 正在初始化
2025-12-11 at 16:57:23 | INFO | 初始化完成
2025-12-11 at 16:57:27 | INFO | 账号输入完成
2025-12-11 at 16:57:28 | INFO | 密码输入完成
2025-12-11 at 16:57:29 | INFO | 已勾选协议
2025-12-11 at 16:57:29 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 16:57:29 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:57:29 | INFO | 图片保存成功：background.png
2025-12-11 at 16:57:36 | ERROR | 验证失败，正在重试
2025-12-11 at 16:57:36 | INFO | 图片保存成功：slider.png
2025-12-11 at 16:57:36 | INFO | 图片保存成功：background.png
2025-12-11 at 17:02:02 | INFO | 正在初始化
2025-12-11 at 17:02:02 | INFO | 初始化完成
2025-12-11 at 17:02:05 | INFO | 账号输入完成
2025-12-11 at 17:02:07 | INFO | 密码输入完成
2025-12-11 at 17:02:07 | INFO | 已勾选协议
2025-12-11 at 17:02:07 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:02:07 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:02:07 | INFO | 图片保存成功：background.png
2025-12-11 at 17:03:03 | INFO | 正在初始化
2025-12-11 at 17:03:03 | INFO | 初始化完成
2025-12-11 at 17:03:06 | INFO | 账号输入完成
2025-12-11 at 17:03:09 | INFO | 密码输入完成
2025-12-11 at 17:03:09 | INFO | 已勾选协议
2025-12-11 at 17:03:09 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:03:09 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:03:09 | INFO | 图片保存成功：background.png
2025-12-11 at 17:04:16 | INFO | 正在初始化
2025-12-11 at 17:04:16 | INFO | 初始化完成
2025-12-11 at 17:04:20 | INFO | 账号输入完成
2025-12-11 at 17:04:22 | INFO | 密码输入完成
2025-12-11 at 17:04:23 | INFO | 已勾选协议
2025-12-11 at 17:04:23 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:04:23 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:04:23 | INFO | 图片保存成功：background.png
2025-12-11 at 17:04:41 | ERROR | 验证失败，正在重试
2025-12-11 at 17:04:41 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:04:41 | INFO | 图片保存成功：background.png
2025-12-11 at 17:06:02 | INFO | 正在初始化
2025-12-11 at 17:06:02 | INFO | 初始化完成
2025-12-11 at 17:06:05 | INFO | 账号输入完成
2025-12-11 at 17:06:08 | INFO | 密码输入完成
2025-12-11 at 17:06:08 | INFO | 已勾选协议
2025-12-11 at 17:06:08 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:06:08 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:06:08 | INFO | 图片保存成功：background.png
2025-12-11 at 17:06:13 | ERROR | 验证失败，正在重试
2025-12-11 at 17:06:13 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:06:13 | INFO | 图片保存成功：background.png
2025-12-11 at 17:07:27 | INFO | 正在初始化
2025-12-11 at 17:07:27 | INFO | 初始化完成
2025-12-11 at 17:07:42 | INFO | 正在初始化
2025-12-11 at 17:07:42 | INFO | 初始化完成
2025-12-11 at 17:08:04 | INFO | 正在初始化
2025-12-11 at 17:08:04 | INFO | 初始化完成
2025-12-11 at 17:09:43 | INFO | 正在初始化
2025-12-11 at 17:09:43 | INFO | 初始化完成
2025-12-11 at 17:09:45 | INFO | 账号输入完成
2025-12-11 at 17:09:47 | INFO | 密码输入完成
2025-12-11 at 17:09:47 | INFO | 已勾选协议
2025-12-11 at 17:09:47 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:09:47 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:09:47 | INFO | 图片保存成功：background.png
2025-12-11 at 17:09:54 | ERROR | 验证失败，正在重试
2025-12-11 at 17:09:54 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:09:54 | INFO | 图片保存成功：background.png
2025-12-11 at 17:09:55 | ERROR | 验证失败，正在重试
2025-12-11 at 17:09:55 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:09:55 | INFO | 图片保存成功：background.png
2025-12-11 at 17:11:41 | INFO | 正在初始化
2025-12-11 at 17:11:41 | INFO | 初始化完成
2025-12-11 at 17:11:44 | INFO | 账号输入完成
2025-12-11 at 17:11:45 | INFO | 密码输入完成
2025-12-11 at 17:11:45 | INFO | 已勾选协议
2025-12-11 at 17:11:45 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 17:11:45 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:11:45 | INFO | 图片保存成功：background.png
2025-12-11 at 17:11:49 | ERROR | 验证失败，正在重试
2025-12-11 at 17:11:49 | INFO | 图片保存成功：slider.png
2025-12-11 at 17:11:49 | INFO | 图片保存成功：background.png
